time,edge,vehicles,speed,waiting,halting,traveltime,blocked,incident_active
78,E2C,5,6.7348,10.0,2,35.58,0,0
78,W2C,5,6.7511,9.0,2,35.49,0,0
79,N2C,3,12.831,0.0,0,18.67,0,0
79,S2C,4,12.7994,0.0,0,18.72,0,0
79,E2C,6,7.1491,12.0,2,33.51,0,0
79,W2C,6,7.3256,11.0,2,32.71,0,0
80,N2C,3,12.8466,0.0,0,18.65,0,0
80,S2C,3,12.4453,0.0,0,19.25,0,0
80,E2C,6,6.4448,14.0,2,37.18,0,0
80,W2C,6,6.6475,13.0,2,36.04,0,0
81,N2C,3,12.82,0.0,0,18.69,0,0
81,S2C,3,12.609,0.0,0,19.0,0,0
81,E2C,6,6.1744,16.0,2,38.81,0,0
81,W2C,6,6.6765,15.0,2,35.89,0,0
82,N2C,3,12.4859,0.0,0,19.19,0,0
82,S2C,3,12.4383,0.0,0,19.26,0,0
82,E2C,6,6.3223,19.0,3,37.9,0,0
82,W2C,6,6.4767,18.0,3,36.99,0,0
83,N2C,3,12.7526,0.0,0,18.79,0,0
83,S2C,3,12.8461,0.0,0,18.65,0,0
83,E2C,6,6.1591,22.0,3,38.9,0,0
83,W2C,6,6.5069,21.0,3,36.82,0,0
84,N2C,3,12.4657,0.0,0,19.22,0,0
84,S2C,3,12.4992,0.0,0,19.17,0,0
84,E2C,6,5.6181,25.0,3,42.65,0,0
84,W2C,6,6.2555,24.0,3,38.3,0,0
85,N2C,3,12.4112,0.0,0,19.31,0,0
85,S2C,3,12.9565,0.0,0,18.49,0,0
85,E2C,7,6.1426,28.0,3,39.01,0,0
85,W2C,7,6.9257,27.0,3,34.6,0,0
86,N2C,3,12.0869,0.0,0,19.82,0,0
86,S2C,3,12.4728,0.0,0,19.21,0,0
86,E2C,7,5.509,31.0,3,43.49,0,0
86,W2C,7,6.7763,30.0,3,35.36,0,0
87,N2C,3,12.1274,0.0,0,19.76,0,0
87,S2C,3,12.322,0.0,0,19.44,0,0
87,E2C,7,5.2787,34.0,3,45.39,0,0
87,W2C,7,6.2672,33.0,3,38.23,0,0
88,N2C,3,12.0686,0.0,0,19.85,0,0
88,S2C,3,12.74,0.0,0,18.81,0,0
88,E2C,7,5.4948,38.0,4,43.6,0,0
88,W2C,7,5.9392,36.0,3,40.34,0,0
89,N2C,3,12.5661,0.0,0,19.07,0,0
89,S2C,3,12.2774,0.0,0,19.52,0,0
89,E2C,7,5.3399,42.0,4,44.87,0,0
89,W2C,7,5.2699,39.0,3,45.47,0,0
90,N2C,3,12.4265,0.0,0,19.28,0,0
90,S2C,3,12.4709,0.0,0,19.21,0,0
90,E2C,7,5.5104,46.0,4,43.48,0,0
90,W2C,7,4.5384,43.0,4,52.79,0,0
91,N2C,4,12.8071,0.0,0,18.71,0,0
91,S2C,4,12.7145,0.0,0,18.84,0,0
91,E2C,8,6.3823,50.0,4,37.54,0,0
91,W2C,8,5.2653,47.0,4,45.51,0,0
92,N2C,4,11.8703,0.0,0,20.18,0,0
92,S2C,4,12.7218,0.0,0,18.83,0,0
92,E2C,8,6.3743,54.0,4,37.59,0,0
92,W2C,8,4.9537,51.0,4,48.37,0,0
93,N2C,4,12.6547,0.0,0,18.93,0,0
93,S2C,4,12.7546,0.0,0,18.79,0,0
93,E2C,8,5.5106,58.0,4,43.48,0,0
93,W2C,8,4.9393,56.0,5,48.51,0,0
94,N2C,3,12.5182,0.0,0,19.14,0,0
94,S2C,4,12.5279,0.0,0,19.13,0,0
94,E2C,8,5.2909,62.0,4,45.29,0,0
94,W2C,8,4.9177,61.0,5,48.72,0,0
95,N2C,3,12.7351,0.0,0,18.81,0,0
95,S2C,3,13.1053,0.0,0,18.28,0,0
95,E2C,8,4.7641,67.0,5,50.29,0,0
95,W2C,8,4.6591,66.0,5,51.43,0,0
96,N2C,3,12.7854,0.0,0,18.74,0,0
96,S2C,3,13.4045,0.0,0,17.87,0,0
96,E2C,8,4.2113,72.0,5,56.89,0,0
96,W2C,8,3.9586,71.0,5,60.53,0,0
97,N2C,3,12.7976,0.0,0,18.72,0,0
97,S2C,3,13.2225,0.0,0,18.12,0,0
97,E2C,9,4.6839,77.0,5,51.15,0,0
97,W2C,9,4.6791,76.0,5,51.21,0,0
98,N2C,3,12.404,0.0,0,19.32,0,0
98,S2C,3,12.6366,0.0,0,18.96,0,0
98,E2C,9,4.27,82.0,5,56.11,0,0
98,W2C,9,4.2698,81.0,5,56.12,0,0
99,N2C,3,12.4483,0.0,0,19.25,0,0
99,S2C,3,12.9049,0.0,0,18.57,0,0
99,E2C,9,4.21,88.0,6,56.91,0,0
99,W2C,9,4.2072,87.0,6,56.95,0,0
100,N2C,3,12.6775,0.0,0,18.9,0,0
100,S2C,3,12.7699,0.0,0,18.76,0,0
100,E2C,7,5.4112,40.0,4,44.28,0,0
100,W2C,7,5.4169,40.0,4,44.23,0,0
101,N2C,3,12.5935,0.0,0,19.03,0,0
101,S2C,3,12.4419,0.0,0,19.26,0,0
101,E2C,7,5.334,10.0,2,44.92,0,0
101,W2C,7,5.4356,12.0,2,44.08,0,0
102,N2C,3,12.6717,0.0,0,18.91,0,0
102,S2C,3,12.1495,0.0,0,19.72,0,0
102,E2C,7,5.5729,0.0,0,42.99,0,0
102,W2C,7,5.5523,0.0,0,43.15,0,0
103,N2C,4,12.7858,0.0,0,18.74,0,0
103,S2C,4,11.4804,0.0,0,20.87,0,0
103,E2C,6,7.7215,0.0,0,31.03,0,0
103,W2C,6,7.929,0.0,0,30.22,0,0
104,N2C,4,12.7172,0.0,0,18.84,0,0
104,S2C,4,10.4923,0.0,0,22.84,0,0
104,E2C,6,8.4928,0.0,0,28.21,0,0
104,W2C,6,8.0866,0.0,0,29.63,0,0
105,N2C,4,11.4449,0.0,0,20.94,0,0
105,S2C,4,9.6047,1.0,1,24.95,0,0
105,E2C,6,9.229,0.0,0,25.96,0,0
105,W2C,6,9.1351,0.0,0,26.23,0,0
106,N2C,4,10.3259,0.0,0,23.2,0,0
106,S2C,4,9.4698,2.0,1,25.3,0,0
106,E2C,4,11.0094,0.0,0,21.76,0,0
106,W2C,4,10.9056,0.0,0,21.97,0,0
107,N2C,4,9.7847,0.0,0,24.49,0,0
107,S2C,4,9.5953,3.0,1,24.97,0,0
107,E2C,4,11.2988,0.0,0,21.21,0,0
107,W2C,4,11.3895,0.0,0,21.04,0,0
108,N2C,4,9.1569,1.0,1,26.17,0,0
108,S2C,4,8.7252,4.0,1,27.46,0,0
108,E2C,3,12.8889,0.0,0,18.59,0,0
108,W2C,3,12.551,0.0,0,19.09,0,0
109,N2C,5,9.3725,2.0,1,25.56,0,0
109,S2C,5,8.9066,5.0,1,26.9,0,0
109,E2C,3,13.0224,0.0,0,18.4,0,0
109,W2C,4,13.0341,0.0,0,18.38,0,0
110,N2C,5,8.2492,3.0,1,29.05,0,0
110,S2C,5,8.1781,6.0,1,29.3,0,0
110,E2C,3,12.6502,0.0,0,18.94,0,0
110,W2C,3,12.4316,0.0,0,19.27,0,0
111,N2C,5,7.7003,4.0,1,31.12,0,0
111,S2C,5,7.5612,7.0,1,31.69,0,0
111,E2C,3,12.1115,0.0,0,19.78,0,0
111,W2C,3,12.81,0.0,0,18.7,0,0
112,N2C,5,7.711,5.0,1,31.07,0,0
112,S2C,5,7.4383,9.0,2,32.21,0,0
112,E2C,3,12.6095,0.0,0,19.0,0,0
112,W2C,3,12.2317,0.0,0,19.59,0,0
113,N2C,5,7.4938,7.0,2,31.97,0,0
113,S2C,5,7.77,11.0,2,30.84,0,0
113,E2C,3,12.2965,0.0,0,19.49,0,0
113,W2C,3,12.7395,0.0,0,18.81,0,0
114,N2C,5,7.6068,9.0,2,31.5,0,0
114,S2C,5,7.5825,13.0,2,31.6,0,0
114,E2C,3,12.6492,0.0,0,18.94,0,0
114,W2C,3,12.7897,0.0,0,18.73,0,0
115,N2C,6,8.027,11.0,2,29.85,0,0
115,S2C,6,8.6426,15.0,2,27.72,0,0
115,E2C,4,13.1545,0.0,0,18.21,0,0
115,W2C,4,12.8856,0.0,0,18.59,0,0
116,N2C,6,7.1925,13.0,2,33.31,0,0
116,S2C,6,8.2072,17.0,2,29.19,0,0
116,E2C,4,12.2658,0.0,0,19.53,0,0
116,W2C,4,12.5291,0.0,0,19.12,0,0
117,N2C,6,6.913,15.0,2,34.66,0,0
117,S2C,6,7.5778,19.0,2,31.62,0,0
117,E2C,3,12.9743,0.0,0,18.47,0,0
117,W2C,3,12.6727,0.0,0,18.91,0,0
118,N2C,6,6.5525,17.0,2,36.57,0,0
118,S2C,6,6.7477,21.0,2,35.51,0,0
118,E2C,3,12.927,0.0,0,18.53,0,0
118,W2C,3,13.0246,0.0,0,18.4,0,0
119,N2C,6,6.3469,20.0,3,37.75,0,0
119,S2C,6,6.6416,23.0,2,36.08,0,0
119,E2C,3,13.2491,0.0,0,18.08,0,0
119,W2C,3,12.945,0.0,0,18.51,0,0
120,N2C,6,5.7387,23.0,3,41.75,0,0
120,S2C,6,5.8799,25.0,2,40.75,0,0
120,E2C,3,12.6487,0.0,0,18.94,0,0
120,W2C,3,12.9943,0.0,0,18.44,0,0
121,N2C,7,6.1531,26.0,3,38.94,0,0
121,S2C,7,6.6026,28.0,3,36.29,0,0
121,E2C,3,13.3515,0.0,0,17.95,0,0
121,W2C,4,13.2315,0.0,0,18.11,0,0
122,N2C,7,5.6677,29.0,3,42.27,0,0
122,S2C,7,5.8143,31.0,3,41.21,0,0
122,E2C,3,13.4553,0.0,0,17.81,0,0
122,W2C,3,13.3118,0.0,0,18.0,0,0
123,N2C,7,5.515,33.0,4,43.45,0,0
123,S2C,7,5.5601,34.0,3,43.09,0,0
123,E2C,3,12.856,0.0,0,18.64,0,0
123,W2C,3,13.1478,0.0,0,18.22,0,0
124,N2C,7,5.4807,37.0,4,43.72,0,0
124,S2C,7,5.4672,37.0,3,43.82,0,0
124,E2C,3,12.7835,0.0,0,18.74,0,0
124,W2C,3,12.8363,0.0,0,18.67,0,0
125,N2C,7,5.6485,41.0,4,42.42,0,0
125,S2C,7,5.3028,41.0,4,45.18,0,0
125,E2C,3,13.0972,0.0,0,18.29,0,0
125,W2C,3,13.34,0.0,0,17.96,0,0
126,N2C,7,5.3604,45.0,4,44.7,0,0
126,S2C,7,4.7049,45.0,4,50.93,0,0
126,E2C,3,13.0661,0.0,0,18.34,0,0
126,W2C,3,12.6122,0.0,0,19.0,0,0
127,N2C,8,6.0471,49.0,4,39.62,0,0
127,S2C,8,5.4037,49.0,4,44.34,0,0
127,E2C,4,13.1948,0.0,0,18.16,0,0
127,W2C,4,13.5077,0.0,0,17.74,0,0
128,N2C,8,5.4682,53.0,4,43.82,0,0
128,S2C,8,4.9327,53.0,4,48.57,0,0
128,E2C,3,13.1188,0.0,0,18.26,0,0
128,W2C,3,12.8597,0.0,0,18.63,0,0
